Table 1.1.4. Price Indexes for Gross Domestic Product
Table 1.1.4. Price Indexes for Gross Domestic Product
"Last Revised on: March 28, 2024 - Next Release Date April 25, 2024"
Line,,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic product",11.410,12.057,12.052,12.166,12.991,13.274,13.444,13.581,13.773,14.244,14.742,15.086,15.285,15.494,15.659,15.849,16.030,16.275,16.572,17.037,17.531,18.277,19.175,20.186,21.211,22.128,23.340,25.434,27.796,29.327,31.148,33.339,36.104,39.375,43.092,45.756,47.545,49.262,50.820,51.850,53.126,55.002,57.159,59.307,61.303,62.701,64.189,65.557,66.933,68.156,69.337,70.102,71.084,72.709,74.385,75.500,77.012,79.069,81.537,84.074,86.352,87.977,88.557,89.618,91.466,93.176,94.786,96.436,97.277,98.208,100.000,102.290,104.008,105.407,110.220,117.996,122.283
2,Personal consumption expenditures,11.809,12.477,12.379,12.527,13.380,13.654,13.834,13.950,14.005,14.284,14.718,15.066,15.290,15.541,15.702,15.886,16.077,16.309,16.544,16.962,17.389,18.069,18.883,19.766,20.605,21.308,22.455,24.793,26.860,28.333,30.176,32.276,35.143,38.928,42.415,44.771,46.676,48.439,50.128,51.219,52.802,54.865,57.261,59.775,61.774,63.420,65.000,66.356,67.754,69.203,70.407,70.967,72.001,73.822,75.302,76.291,77.894,79.827,82.127,84.440,86.607,89.170,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100.000,102.047,103.513,104.635,109.001,116.043,120.380
3,"    Goods",23.191,24.559,23.985,24.061,26.003,26.253,26.133,26.033,25.880,26.320,27.143,27.761,27.903,28.122,28.227,28.373,28.609,28.920,29.224,29.868,30.394,31.454,32.673,33.919,34.938,35.833,37.970,42.709,46.159,47.966,50.526,53.626,58.698,65.271,70.120,72.031,73.331,74.718,75.917,75.562,77.992,80.048,83.128,86.532,88.647,89.717,90.496,91.417,92.271,93.285,93.177,91.777,92.258,94.089,94.018,93.122,93.003,94.311,96.203,97.494,98.576,101.524,99.084,100.533,104.325,105.620,105.049,104.542,101.350,99.710,100.000,100.811,100.427,99.646,104.572,113.548,114.913
4,"        Durable goods",52.568,55.258,55.636,55.918,59.666,60.037,59.566,58.261,58.035,59.435,61.621,62.741,63.738,63.497,63.657,63.931,64.175,64.465,63.936,63.796,64.821,66.898,68.784,70.268,72.694,73.495,74.584,79.480,86.593,91.329,95.419,100.760,107.438,116.762,124.570,129.429,132.052,134.005,135.423,136.912,140.852,143.175,145.784,147.232,149.390,150.422,151.903,154.876,156.006,154.431,151.059,146.790,142.835,140.293,137.545,134.074,129.173,126.647,125.332,123.187,120.564,118.304,116.081,113.946,113.023,111.595,109.551,106.771,104.617,102.337,100.000,98.633,97.679,96.782,102.112,108.621,107.707
5,"        Nondurable goods",15.290,16.227,15.698,15.737,17.086,17.269,17.209,17.250,17.138,17.383,17.893,18.329,18.356,18.575,18.652,18.754,18.941,19.194,19.540,20.165,20.533,21.273,22.194,23.192,23.846,24.611,26.595,30.617,32.984,34.058,36.009,38.311,42.440,47.647,51.326,52.491,53.392,54.502,55.522,54.813,56.677,58.479,61.380,64.898,66.793,67.764,68.314,68.679,69.396,70.968,71.709,71.182,72.951,76.084,76.893,76.898,78.488,81.206,84.319,86.946,89.505,94.506,92.000,94.791,100.417,102.831,102.895,103.409,99.735,98.405,100.000,101.935,101.853,101.137,105.826,116.245,118.976
6,"    Services",7.184,7.563,7.691,7.888,8.276,8.579,8.909,9.133,9.288,9.508,9.786,10.028,10.297,10.571,10.759,10.963,11.138,11.342,11.553,11.886,12.280,12.815,13.476,14.223,14.999,15.634,16.389,17.778,19.302,20.641,22.203,23.910,25.915,28.610,31.541,34.017,36.106,37.985,39.843,41.480,42.726,44.769,46.880,49.029,50.946,52.758,54.582,56.066,57.632,59.214,60.883,62.172,63.409,65.210,67.292,69.033,71.336,73.528,75.998,78.750,81.388,83.783,84.432,86.077,87.742,89.648,91.659,93.795,95.462,97.629,100.000,102.626,104.972,107.054,111.103,117.066,122.977
7,Gross private domestic investment,16.647,18.000,18.224,18.599,20.256,20.620,20.684,20.825,21.132,22.340,23.083,23.162,23.381,23.516,23.471,23.496,23.432,23.584,23.947,24.437,25.063,26.005,27.252,28.424,29.832,31.076,32.770,36.038,40.356,42.587,45.725,49.431,53.867,58.908,64.404,67.817,68.025,68.758,69.609,71.174,72.656,74.483,76.382,77.978,79.300,79.300,80.240,81.437,82.748,82.700,82.748,82.140,82.218,83.296,84.006,84.281,84.973,87.455,90.993,94.194,95.615,96.400,95.297,93.688,94.598,95.797,96.678,98.331,98.728,98.549,100.000,101.539,102.966,104.190,107.750,116.056,119.565
8,"    Fixed investment",15.530,16.830,17.151,17.533,19.025,19.479,19.665,19.808,20.133,21.286,22.015,22.106,22.325,22.465,22.414,22.439,22.385,22.540,22.909,23.389,24.020,24.984,26.226,27.372,28.740,29.967,31.635,34.764,38.984,41.233,44.397,48.111,52.434,57.325,62.589,66.105,66.357,67.004,67.980,69.644,71.061,73.044,74.928,76.565,77.906,77.949,78.886,80.099,81.430,81.498,81.640,81.196,81.333,82.486,83.206,83.453,84.183,86.642,90.223,93.428,94.857,95.658,94.494,93.026,93.991,95.241,96.160,97.922,98.582,98.550,100.000,101.568,103.014,104.292,108.162,116.754,120.790
9,"        Nonresidential",19.970,21.638,22.120,22.579,24.689,25.228,25.500,25.730,26.089,28.033,29.403,29.611,30.011,30.191,30.068,30.095,30.103,30.299,30.636,31.107,31.868,33.003,34.395,36.041,37.730,39.021,40.595,44.542,50.410,53.187,56.710,60.502,65.368,71.138,77.902,82.329,82.193,82.453,83.305,84.766,85.734,87.893,89.937,91.867,93.606,93.300,93.500,94.238,95.176,94.599,94.070,92.594,91.666,92.068,91.698,91.219,90.517,91.409,93.780,96.066,97.621,99.131,98.488,96.695,97.756,99.130,99.229,100.170,100.345,99.380,100.000,100.427,101.457,102.092,103.458,109.624,113.604
